1057142801020884,720,540
1056779571057207,720,451
1056140467787784,720,540
1056110037790827,720,444
1055627237839107,720,476
1055600827841748,720,540
1055093831225781,720,452
1055077561227408,720,424
1054490311286133,540,720
1052636378138193,720,474
1052384984829999,720,540
1051334828268348,470,480
1050724178329413,644,416
1049912945077203,433,309
1049893335079164,720,540
1049574691777695,720,336
1048647155203782,720,480
1048279491907215,507,720
1048059518595879,720,510
1047740435294454,720,485
1047717821963382,720,540
1047108912024273,720,540
1047089182026246,720,447
1046576175410880,720,532
1046542508747580,477,331
1045981855470312,720,540
1044867902248374,720,480
1044864742248690,421,585
1044315525636945,720,503
1044312618970569,720,463
1044143788987452,720,448
1043752915693206,720,540
1043747649027066,491,720
1043212862413878,720,490
1043174309084400,720,540
1042521529149678,720,499
1042511512484013,720,528
1042367009165130,720,540
1042046112530553,540,720
1040864219315409,720,489
1040667502668414,720,540
1040326906035807,720,431
1040316489370182,429,515
1039703829431448,479,720
1039531349448696,480,720
1039115366156961,720,504
1038907012844463,720,446
1037972072937957,720,462
1037766602958504,720,499
1037417769660054,707,720
1036793566389141,720,548
1036786543056510,720,540
1036600099741821,720,540
1036224399779391,720,540
1036210496447448,720,537
1035982683136896,720,479
1034960419905789,720,524
1034950629906768,720,489
1034353389966492,720,540
1034150029986828,720,539
1034104126658085,720,558
1033746506693847,720,509
1033577143377450,720,432
1033514960050335,720,498
1033194476749050,640,478
1032967800105051,720,490
1032633840138447,720,444
1032625216805976,720,540
1032617366806761,720,491
1032427613492403,720,540
1032078566860641,720,493
1032070870194744,720,479
1032063590195472,720,452
1031818350219996,440,720
1031416870260144,720,480
1031409976927500,720,537
1031389066929591,720,493
1031154066953091,720,476
1030768843658280,720,481
1030756916992806,720,445
1030704273664737,720,540
1030470793688085,720,500
1029838817084616,555,343
1029462533788911,671,495
1029228560478975,720,508
1028910320510799,720,480
1028875493847615,720,540
1028291513906013,720,506
1028286863906478,720,524
1027021427366355,720,423
1027014114033753,720,528
1027008944034270,657,439
1026183740783457,720,540
1025588957509602,720,486
1025578424177322,637,385
1025282217540276,720,486
1024807824254382,720,459
1024536794281485,625,417
1024195294315635,720,493
1023482214386943,720,480
1023471717721326,720,470
1021587657909732,696,508
1021576067910891,555,720
1020672508001247,720,495
1020276081374223,720,443
1020230328045465,720,540
1019623751439456,463,720
1018641454871019,720,540
1018231868245311,720,540
1016491015086063,720,507
1016479768420521,720,475
1015528641848967,720,434
1015516945183470,720,494
1015508111851020,720,540
1014131201988711,720,550
1013393622062469,720,540
1012938732107958,720,485
1012861328782365,720,540
1012202455514919,720,485
1012170228851475,720,492
1011854012216430,720,540
1010209009047597,720,312
1010201895714975,720,488
1010179069050591,720,479
1009938355741329,457,720
1009221662479665,720,444
1009153359153162,720,540
1008798812521950,720,480
1008158962585935,720,487
1008142545920910,648,486
1008136352588196,540,720
1007869535948211,720,540
1007352162666615,720,479
1007348182667013,501,720
1007335919334906,720,540
1006982509370247,720,501
1006473856087779,720,206
1006214202780411,720,540
1005577386177426,720,540
1003102049758293,720,534
1003094016425763,720,490
1003080443093787,720,481
1002344566500708,720,460
1001586589909839,720,474
1001424973259334,350,574
1001309069937591,720,479
1000901469978351,477,720
1000870606648104,720,500
1000176663384165,540,720
1000161390052359,720,506
999470640121434,720,540
998156946919470,521,720
998143060254192,720,482
997591433642688,720,502
997585823643249,720,475
997578733643958,720,500
996930790375419,720,418
996905313711300,720,489
996685420399956,720,480
996381307097034,500,334
996304110438087,720,481
996154343786397,720,478
995793937155771,720,602
995190710549427,720,490
995181363883695,720,540
994645203937311,720,518
